"ID" "method" "p.value"
"83GA3N002" "geoKNN" 1.5697022979988e-05
"83NW1N096" "geoKNN" 5.76092940530737e-05
"83SF3N007" "geoKNN" 0.000105884254611777
"83LA3U007" "geoKNN" 0.000119826744556351
"83PU3N014" "geoKNN" 0.00013944917937414
"83BE2N011" "geoKNN" 0.000159734432217618
"83HO3N003" "geoKNN" 0.000179866637292636
"83GR3N007" "geoKNN" 0.000217999861398366
"83CL2N002" "geoKNN" 0.000220728357426037
"83PP1N028" "geoKNN" 0.000267744564012573
"83DR2N003" "geoKNN" 0.000458308808300001
"83LI3N009" "geoKNN" 0.000490458549026296
"83FU2N002" "geoKNN" 0.000511564199143555
"83BA3N012" "geoKNN" 0.000728700732388843
"83GA4N018" "geoKNN" 0.000745906176489064
"83MS4N003" "geoKNN" 0.000968813495724863
"83OU3N018" "geoKNN" 0.00128004338833609
"83GR2N002" "geoKNN" 0.00173547042906408
"83CR3N010" "geoKNN" 0.00182256732357755
"83CR3N007" "geoKNN" 0.00205450022751197
"83MI5N013" "geoKNN" 0.00388941741647852
"83FU2N001" "geoKNN" 0.0043287188396034
"83CR3N009" "geoKNN" 0.00459432021810779
"83FU2N003" "geoKNN" 0.00459701087261077
"83UN5N034" "geoKNN" 0.00495065252080629
"83IZ3N008" "geoKNN" 0.00542930144137432
"83ML2N004" "geoKNN" 0.00569915548181177
"83UN5N023" "geoKNN" 0.00570445523774676
"83MA2N038" "geoKNN" 0.0061778433562405
"83ST4N017" "geoKNN" 0.00738487030147728
"83BR3N001" "geoKNN" 0.00770622503963536
"83SF2N002" "geoKNN" 0.0102780829949495
"83BA3N014" "geoKNN" 0.0112561699287577
"83PU4N017" "geoKNN" 0.0142302756869557
"83BE2N042" "geneticKNN" 0.017187455189049
"83CT3N008" "geoKNN" 0.0174215320661937
"83UN3N002" "geneticKNN" 0.018662070571247
"83LA3U007" "geneticKNN" 0.01867829141383
"83BO5N068" "geoKNN" 0.0195027723166479
"83FA5N024" "geoKNN" 0.0205872031442322
"83BE1N001" "geneticKNN" 0.0206314439605703
"83BE2N027" "geneticKNN" 0.0212687246064797
"83MI3U011" "geneticKNN" 0.0220886833800505
"83FA5N023" "geoKNN" 0.0227466232401291
"83NE3N014" "geneticKNN" 0.0229600537092719
"83ML2N002" "geoKNN" 0.0229838724143731
"83GA3N005" "geoKNN" 0.0231949924319034
"83ML2N003" "geoKNN" 0.0235193417500156
"83CO3U004" "geneticKNN" 0.02424250640406
