sampleID	x	y
83AR2N001	-91.58958968	34.53746589
83AR2N002	-91.57064371	34.53792185
83AR2N003	-91.51694958	34.47867946
83AR2N004	-91.2756338	34.51694405
83AR2N005	-91.39492795	34.38722906
83AR3N006	-91.63311738	34.31110216
83AR3N007	-91.27597192	34.51427988
83AR3U008	-91.62268313	34.44869011
83AR3U009	-91.62268313	34.44869011
83AR3U010	-91.62355384	34.44803264
83AR3U011	nan	nan
83AR4N012	-91.59785827	34.34542073
83AS3N001	-91.64768802	33.29010079
83AS4N002	-91.81787679	33.26648324
83AS5N003	-91.70601195	33.18223992
83AS5N004	-91.79571716	33.22656795
83BA1N001	-92.53437431	36.37742159
83BA1N002	-92.43986961	36.24476975
83BA2N003	-92.3752581	36.29274516
83BA2N004	-92.49938662	36.36227866
83BA2N005	-92.47833186	36.29027323
83BA2N006	-92.47638717	36.29298737
83BA2N007	-92.33693064	36.2869763
83BA2N008	-92.28617972	36.2240004
83BA3N009	-92.4489438	36.32347117
83BA3N010	-92.21638048	36.45665106
83BA3N011	-92.51750573	36.38655924
83BA3N012	-92.39162664	36.27579955
83BA3N013	-92.24779878	36.40656719
83BA3N014	-92.34219697	36.24459712
83BA3N015	-92.57359534	36.34675365
83BA3N016	-92.16802626	36.20087016
83BA3N017	-92.45950563	36.41851323
83BA4N018	-92.53666843	36.36468288
83BA4N019	-92.52529057	36.30725555
83BE1N001	-94.16234353	36.39611263
83BE1N002	-94.15956293	36.41535016
83BE1N003	-94.1983973	36.34620196
83BE1N004	-94.16708374	36.36112499
83BE1N005	-94.04676202	36.23756184
83BE2N007	-94.05434346	36.35281563
83BE2N008	-94.05335	36.35269818
83BE2N011	-93.95266914	36.27308363
83BE2N020	-94.43191352	36.25577495
83BE2N021	-94.43190486	36.25591027
83BE2N022	-94.35970898	36.42233431
83BE2N024	-94.2562583	36.33881048
83BE2N027	-94.17794164	36.21457983
83BE2N028	-93.89774898	36.4023163
83BE2N029	-93.98090804	36.30636449
83BE2N031	-94.53558935	36.34139766
83BE2N034	-94.51955601	36.24842834
83BE2N036	-94.13621898	36.26964147
83BE2N042	-94.58308654	36.30877659
83BE3N049	-94.01905158	36.44360457
83BO1N001	-93.12220001	36.16220934
83BO1N003	-93.11415603	36.1200327
83BO1N004	-93.11377857	36.12027648
83BO1N005	-93.23462041	36.15253931
83BO1N006	-93.16579658	36.13155759
83BO1N007	-93.16579658	36.13155759
83BO1N008	-93.29784019	36.2167974
83BO1N009	-93.11956691	36.32423083
83BO1N010	nan	nan
83BO1N011	-92.97667136	36.28364655
83BO1N012	-93.04721337	36.28252158
83BO1N013	-93.13703387	36.35468422
83BO1N014	-93.00695784	36.38893089
83BO1N015	-93.02313783	36.35392212
83BO1N016	-92.9593648	36.37365215
83BO1N017	-92.95945138	36.37866473
83BO1N018	-92.95922845	36.37856548
83BO1N019	-92.99974407	36.22628282
83BO1N020	-93.04699294	36.21194778
83BO1N021	-93.10982777	36.19573257
83BO1N022	-93.21393768	36.25680758
83BO1N023	-93.0284142	36.24376067
83BO2N025	-93.27426419	36.45193954
83BO2N026	-93.2313552	36.35370941
83BO2N028	-93.27357691	36.16947823
83BO2N029	-93.17573339	36.30613054
83BO2N030	-92.86382968	36.47941198
83BO2N033	-93.0018453	36.148685
83BO2N034	-92.9043343	36.14785343
83BO2N040	-93.06123228	36.46698787
83BO2N053	-92.93867145	36.33393044
83BO2N062	-92.97385863	36.43675451
83BO2N063	-93.09151741	36.30852361
83BO2P066	-93.28216801	36.28606565
83BO2P067	-93.14689674	36.19552152
83BO5N068	-92.97101136	36.4725895
83BO5P069	nan	nan
